gentrifying_pct_chg_income_homeval_educ,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval,restaurants,food,shopping,beauty & spas,home services,automotive,american (traditional),nightlife,local services,bars,event planning & services,pizza,health & medical,fast food,active life,sandwiches
0,0,0,5,2,0,0,0,0,0,1,0,0,1,2,0,0,1,0
0,0,0,3,1,0,0,0,1,0,1,0,0,1,2,0,0,1,0
0,0,0,5,1,0,0,1,1,0,0,1,0,0,3,0,0,0,0
1,1,1,14,1,4,1,4,5,2,4,2,4,2,3,0,1,2,1
0,0,0,39,13,15,5,4,7,6,20,4,20,4,4,2,1,8,2
0,1,1,48,18,22,5,6,10,8,21,7,21,4,8,4,1,8,3
0,1,1,49,17,22,6,9,10,11,26,7,24,4,6,4,1,6,6
0,0,0,50,21,21,7,7,6,8,28,9,26,6,7,3,3,9,6
0,0,0,54,24,25,10,3,8,11,27,4,25,5,8,4,4,7,6
0,0,1,13,9,4,0,2,1,3,2,3,1,2,1,1,4,1,1
0,0,1,19,9,4,2,4,3,4,2,2,1,2,1,1,6,0,1
0,0,1,21,12,4,2,3,2,6,2,3,1,2,3,0,2,0,0
0,1,1,26,15,4,1,4,4,5,3,1,2,2,4,1,4,0,2
0,0,1,23,15,1,0,4,5,5,3,3,2,1,2,0,5,1,2
0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1
0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1
0,0,1,5,4,0,0,0,0,0,0,0,0,0,0,0,2,0,2
1,1,1,8,3,0,0,0,0,1,0,0,0,0,0,0,3,0,1
0,0,1,9,3,0,0,0,1,1,0,0,0,0,0,1,1,0,1
0,0,0,3,1,3,1,1,1,1,0,0,0,1,0,1,0,2,0
0,0,1,7,2,2,1,1,1,2,2,2,1,0,0,0,0,2,1
0,0,1,10,2,4,2,2,1,2,2,2,1,1,1,0,1,1,1
0,0,0,11,3,4,2,2,2,2,2,1,2,3,0,1,2,1,1
0,0,0,12,1,4,1,4,1,3,3,3,3,5,1,1,1,0,1
0,1,1,69,31,9,6,3,5,5,25,3,23,19,7,4,7,4,10
1,1,1,72,35,10,4,3,3,7,28,2,27,20,8,6,6,8,10
0,0,0,85,41,6,5,6,5,8,30,4,27,22,8,4,7,9,14
0,0,0,88,41,12,8,6,4,9,30,5,27,25,9,7,8,7,16
0,0,0,88,44,10,4,6,2,10,28,5,26,23,9,9,9,7,17
0,0,1,35,15,9,3,6,3,11,8,2,8,1,6,2,8,3,3
0,0,0,43,16,9,5,7,6,13,12,3,12,2,7,1,9,4,6
0,0,0,44,18,11,11,7,8,12,13,4,13,4,8,2,8,2,7
0,0,0,49,19,15,9,8,6,13,13,5,13,3,7,4,10,3,7
0,1,1,49,17,15,10,7,6,13,16,5,16,3,9,3,9,5,8
0,0,0,9,3,4,0,2,1,1,4,2,4,2,1,0,0,0,0
0,0,0,15,8,3,0,0,0,1,3,1,3,1,2,0,2,0,3
0,0,1,17,7,1,0,1,0,2,5,3,5,1,3,0,2,1,4
0,0,1,16,7,4,0,1,1,2,4,2,4,1,3,0,1,1,1
